GrantIDs	Counter
241,944, 339,462, 389,927, 389,875, 389,891, 389,892, 389,938, 443,036, 442,915, 442,981, 496,610, 496,739, 552,485, 552,498, 1,026,033	1
085475	42
076113	81
R155-2014-1724	3
R102-A9118	3
20542	4
MR/M004600/1	3
MR/R013926/1	2
R01 EY027004	14
R01 CA241623	2
R01 EY015473	19
P30 EY014104	22
R01 EY022305	25
R01 DK057061	1
P01 AG043352	11
R01 AG047310	8
R01 AG061853	5
054-15-101	1
15-HBPR-0001-03	1
R01 HL138737	4
R01 HL128914	15
R01 HL116690	1
K23 HL114724	10
R01 HL127659	2
K24 HL105780	23
K01 HL140187	3
R01 HL090620	12
16EIA26410001	3
R21 HL093613	1
R01 HL111314	9
MC_U123160651	14
MC_UU_00024/1	5
R01 AG031189	1
MC_UU_00024/2	1
R01 NS103848	1
R01 AG062562	1
R56 DK062370	27
R01 AI130025	1
R01 MH118233	2
U01 DA051038	4
R56 MH120736	3
R35 HL135824	13
R01 HL137214	3
R01 HL109946	18
R01 HL068878	2
R01 HL130705	4
R01 CA222147	1
C1287/A16563	11
R01 HG006399	9
U19 CA148065	36
R01 MH101244	6
C1287/A10118	36
R37 MH107649	2
C1287/A10710	15
T32 EY022303	5
R01 EY021531	1
R01 HL135142	7
R01 HL137927	9
K08 HL136928	11
MR/N011317/1	14
P01 HL132825	7
R01 HL143885	3
U10 CA037429	16
UG1 CA189974	15
T32 GM008692	3
K01 CA229995	1
T32 DK110919	5
R01 AI148469	1
UM1 CA182883	16
R01 HD057194	12
01ZX1314A	2
01ZZ1804A	2
01ER1205	1
01ER1506	1
01ZZ9603	1
01ZZ0103	1
01ZZ0403	1
03IS2061A	1
03ZIK012	1
01ZX1614J	2
785907	3
EU RIA 733161	1
826421	1
156791	1
FOR2107: NO246/10-1	1
MU1315/8-2	1
DA 1151/5-1	1
DA 1151/5-2	1
KI 588/14-1	1
KI 588/14-2	1
R21 EY028671	9
R01 EY018246	21
R01 EY031424	1
C864/A14136	8
MR/T019050/1	2
MC-UU_12015/1	3
MR/N003284/1	38
R01 EY023242	7
P30 EY031631	2
MC_PC_13048	5
R01 EY022891	4
R01 HD073342	9
RC2 MH089924	10
R01 HD083613	2
P50 DA037844	7
RC2 MH089983	9
R01 MH120219	3
R01 HD092548	2
R01 DA050721	2
R01 AA026281	1
R01 HD060726	11
P50 AA022537	6
K02 AA018755	33
R01 AA015416	12
MR/K01417X/1	20
R01 GM133169	5
MR/L501542/1	15
MC_PC_19026	2
MC_UU_00007/15	2
MR/P011705/2	1
MR/N02995X/1	3
MC_PC_20004	3
R01 HG009120	5
MC_UU_12014/10	1
G0701075	37
G0901254	25
MC_UP_A090_1006	5
MC_UU_12014/12	1
G1001253	9
G-0907	14
MC_PC_19059	2
MR/R026408/1	9
G-1307	7
F31 MH124306	2
K01 MH121659	3
MR/S006753/1	2
MR/S032304/1	2
MR/J004758/1	9
K99 HG012222	2
MC_UU_12014/8	1
MC_PC_19025	3
MR/P011705/1	4
K24 DK110550	8
T32 DK007028	3
102820/Z/13/Z	4
P30 DK098722	4
R01 DK088214	1
R01 GM117163	3
R01 HL068639	3
R01 HL060739	3
R01 HL034594	7
R01 CA050385	24
R01 CA067262	28
R01 HL043851	40
R01 HL116854	3
R01 HL074745	4
UM1 CA182913	39
R01 CA047988	43
R01 HL043201	5
R01 HL035464	11
